,open,close,high,low,volume,money,code,name
2020-01-02,5306.67,5366.14,5374.91,5288.17,14589440500.0,136813752305.0,000905.XSHG,中证500
2020-01-03,5376.03,5380.64,5395.26,5351.8,12845202100.0,122199725543.2,000905.XSHG,中证500
2020-01-06,5365.22,5434.85,5481.55,5355.02,15958741400.0,158190935628.3,000905.XSHG,中证500
2020-01-07,5441.9,5499.84,5499.84,5440.69,14414272200.0,142194161767.8,000905.XSHG,中证500
2020-01-08,5481.98,5423.8,5500.16,5409.57,15540684700.0,149838069326.0,000905.XSHG,中证500
2020-01-09,5465.86,5497.54,5497.54,5457.35,13243166700.0,135961014647.3,000905.XSHG,中证500
2020-01-10,5511.67,5480.23,5516.09,5455.25,11381982100.0,118196969042.4,000905.XSHG,中证500
2020-01-13,5478.32,5559.63,5559.63,5447.73,11807618100.0,128651948006.7,000905.XSHG,中证500
2020-01-14,5576.63,5542.33,5583.72,5539.9,12981138300.0,134845327468.6,000905.XSHG,中证500
2020-01-15,5532.96,5530.03,5545.1,5492.65,11242502000.0,118142835148.1,000905.XSHG,中证500
2020-01-16,5539.42,5527.67,5559.02,5514.69,11189727600.0,122337955367.5,000905.XSHG,中证500
2020-01-17,5539.72,5510.05,5555.41,5499.47,10494932900.0,110491857886.6,000905.XSHG,中证500
2020-01-20,5523.01,5587.54,5587.54,5500.59,11540300100.0,128212120829.0,000905.XSHG,中证500
2020-01-21,5581.01,5523.94,5581.98,5515.19,12460480800.0,135220987296.1,000905.XSHG,中证500
2020-01-22,5502.59,5575.51,5597.99,5440.2,12347477000.0,138250254243.4,000905.XSHG,中证500
2020-01-23,5521.79,5377.74,5558.43,5326.93,14577307100.0,161861917529.5,000905.XSHG,中证500
2020-02-03,4896.89,4910.9,4960.75,4896.89,8177708400.0,89455038460.2,000905.XSHG,中证500
2020-02-04,4736.12,4996.47,5013.77,4736.12,18967227900.0,175374996025.5,000905.XSHG,中证500
2020-02-05,5035.41,5123.96,5178.44,5026.41,17109533900.0,177352350637.2,000905.XSHG,中证500
2020-02-06,5128.19,5282.89,5299.18,5100.48,18595745600.0,197274056315.6,000905.XSHG,中证500
2020-02-07,5287.27,5327.04,5329.36,5226.7,19114764200.0,203495543097.8,000905.XSHG,中证500
2020-02-10,5322.01,5388.43,5389.04,5301.41,17670328200.0,186767921839.1,000905.XSHG,中证500
2020-02-11,5390.53,5361.28,5396.96,5323.76,15250817700.0,157302894199.0,000905.XSHG,中证500
2020-02-12,5345.52,5459.95,5461.67,5340.49,15104147300.0,164552224783.9,000905.XSHG,中证500
2020-02-13,5456.66,5412.84,5482.8,5397.23,15820264200.0,175679828632.4,000905.XSHG,中证500
2020-02-14,5407.47,5420.8,5474.47,5375.93,14534649600.0,162742004601.2,000905.XSHG,中证500
2020-02-17,5454.46,5594.44,5594.44,5454.46,17463665700.0,183878721181.5,000905.XSHG,中证500
2020-02-18,5607.84,5660.81,5660.81,5577.9,18509870100.0,206428524429.9,000905.XSHG,中证500
2020-02-19,5654.18,5603.26,5678.82,5601.39,18564208500.0,210591418572.0,000905.XSHG,中证500
2020-02-20,5619.52,5706.71,5712.18,5580.07,19207602600.0,205564978649.7,000905.XSHG,中证500
2020-02-21,5704.84,5784.03,5822.4,5700.95,20723623900.0,230175046237.0,000905.XSHG,中证500
2020-02-24,5784.58,5865.47,5884.14,5754.68,21809896200.0,250154433482.9,000905.XSHG,中证500
2020-02-25,5745.62,5897.72,5912.27,5643.88,26736667800.0,301960915841.1,000905.XSHG,中证500
2020-02-26,5824.05,5743.39,5885.27,5724.5,26637508000.0,281045744357.2,000905.XSHG,中证500
2020-02-27,5770.22,5753.73,5829.04,5689.54,20469487500.0,221902086232.7,000905.XSHG,中证500
2020-02-28,5558.42,5451.29,5641.77,5438.85,22430670900.0,232879770245.1,000905.XSHG,中证500
2020-03-02,5516.44,5656.42,5683.24,5505.27,19951161200.0,213505004462.5,000905.XSHG,中证500
2020-03-03,5756.79,5710.02,5832.35,5658.12,22632549400.0,244204351206.5,000905.XSHG,中证500
2020-03-04,5670.5,5716.51,5719.18,5603.93,18513309800.0,194980150091.0,000905.XSHG,中证500
2020-03-05,5795.25,5801.12,5811.21,5732.17,21723222100.0,217238387621.0,000905.XSHG,中证500
2020-03-06,5737.1,5763.86,5802.63,5723.73,18529714700.0,177496499289.1,000905.XSHG,中证500
2020-03-09,5668.64,5525.82,5699.92,5525.82,21853808900.0,212042107536.0,000905.XSHG,中证500
2020-03-10,5459.17,5675.11,5675.88,5423.43,20840287700.0,210472315060.8,000905.XSHG,中证500
2020-03-11,5692.72,5589.53,5708.92,5589.53,18775091200.0,190010266287.6,000905.XSHG,中证500
2020-03-12,5507.32,5493.88,5549.35,5446.79,15875315700.0,154102925606.4,000905.XSHG,中证500
2020-03-13,5225.51,5457.2,5507.39,5224.73,19526665900.0,188405108227.1,000905.XSHG,中证500
2020-03-16,5496.89,5200.11,5496.89,5183.34,18684995200.0,184923547742.5,000905.XSHG,中证500
2020-03-17,5245.52,5212.06,5300.56,5052.65,15913787800.0,152551271989.0,000905.XSHG,中证500
2020-03-18,5257.94,5119.47,5333.12,5119.47,16428660400.0,160536059992.1,000905.XSHG,中证500
2020-03-19,5119.94,5157.82,5185.09,5020.44,15459370200.0,148680627064.8,000905.XSHG,中证500
2020-03-20,5217.49,5219.28,5225.03,5129.07,12751328900.0,131519032482.5,000905.XSHG,中证500
2020-03-23,5079.35,4998.91,5129.14,4981.67,13868474500.0,133727699571.8,000905.XSHG,中证500
2020-03-24,5089.15,5096.04,5118.04,4963.29,14078770500.0,137371423374.7,000905.XSHG,中证500
2020-03-25,5200.78,5217.42,5229.22,5160.39,14688107000.0,142310080633.2,000905.XSHG,中证500
2020-03-26,5180.47,5166.11,5227.47,5157.15,12565245000.0,126982007995.4,000905.XSHG,中证500
2020-03-27,5222.85,5137.34,5227.79,5134.49,11704507300.0,118480791099.6,000905.XSHG,中证500
2020-03-30,5073.7,5027.49,5074.63,4974.32,12398131600.0,124559163372.3,000905.XSHG,中证500
2020-03-31,5073.52,5041.45,5090.57,5030.57,11160561200.0,106538446158.7,000905.XSHG,中证500
2020-04-01,5029.58,5019.22,5108.18,5007.71,11215411100.0,110651112519.1,000905.XSHG,中证500
2020-04-02,4998.63,5147.2,5147.2,4998.11,11335107800.0,117822171439.6,000905.XSHG,中证500
2020-04-03,5143.52,5107.04,5161.57,5085.09,10947897800.0,112751173060.0,000905.XSHG,中证500
2020-04-07,5202.55,5267.07,5273.09,5197.58,14510945200.0,146826555108.9,000905.XSHG,中证500
2020-04-08,5243.16,5271.8,5291.41,5232.62,13778625400.0,136499534391.4,000905.XSHG,中证500
2020-04-09,5301.27,5322.46,5336.12,5289.38,12509846200.0,128352885531.3,000905.XSHG,中证500
2020-04-10,5321.79,5208.51,5321.79,5197.98,12381638800.0,126468212009.4,000905.XSHG,中证500
2020-04-13,5176.44,5169.18,5198.37,5140.85,9818099300.0,101355716432.4,000905.XSHG,中证500
2020-04-14,5197.17,5288.59,5288.59,5189.82,11018824400.0,118917318030.8,000905.XSHG,中证500
2020-04-15,5291.97,5268.75,5320.58,5264.01,12247740000.0,128025726348.5,000905.XSHG,中证500
2020-04-16,5245.92,5316.97,5328.12,5238.43,12074219300.0,122069165005.5,000905.XSHG,中证500
2020-04-17,5354.98,5318.45,5377.15,5309.58,13696983300.0,156745771336.3,000905.XSHG,中证500
2020-04-20,5329.87,5381.79,5381.79,5311.2,12064218200.0,130825823688.1,000905.XSHG,中证500
2020-04-21,5358.6,5343.88,5358.6,5287.66,13074442600.0,139768427426.9,000905.XSHG,中证500
2020-04-22,5304.73,5387.62,5388.21,5296.26,12359700600.0,127945771530.7,000905.XSHG,中证500
2020-04-23,5402.65,5357.79,5407.49,5354.94,14461830200.0,145324602210.3,000905.XSHG,中证500
2020-04-24,5350.54,5273.55,5354.76,5258.57,13138336700.0,127211203386.7,000905.XSHG,中证500
2020-04-27,5278.98,5265.72,5314.41,5249.31,11713242700.0,110738403020.7,000905.XSHG,中证500
2020-04-28,5268.13,5227.85,5273.26,5102.06,14082491000.0,133971236966.9,000905.XSHG,中证500
2020-04-29,5203.71,5226.81,5269.74,5201.47,10592684900.0,103339319168.3,000905.XSHG,中证500
2020-04-30,5261.05,5353.86,5368.89,5261.05,13303668600.0,142523793301.1,000905.XSHG,中证500
2020-05-06,5320.94,5451.32,5451.46,5318.44,14167905000.0,159945700644.7,000905.XSHG,中证500
2020-05-07,5454.25,5445.75,5473.77,5425.8,14014635400.0,147975355319.2,000905.XSHG,中证500
2020-05-08,5474.87,5507.7,5527.09,5467.65,13631862200.0,146384767223.1,000905.XSHG,中证500
2020-05-11,5529.11,5496.19,5547.94,5466.62,12985198500.0,142054909597.6,000905.XSHG,中证500
2020-05-12,5494.07,5512.46,5519.29,5441.7,11594367700.0,127585356336.7,000905.XSHG,中证500
2020-05-13,5495.9,5536.28,5546.55,5483.99,10789582200.0,120477112076.0,000905.XSHG,中证500
2020-05-14,5513.08,5487.11,5528.09,5485.02,11919770100.0,129595787537.9,000905.XSHG,中证500
2020-05-15,5510.15,5507.93,5543.93,5486.26,11265151100.0,132317035662.0,000905.XSHG,中证500
2020-05-18,5522.72,5478.82,5528.78,5454.96,13365466400.0,158389049357.7,000905.XSHG,中证500
2020-05-19,5515.03,5547.88,5548.22,5504.23,11200886000.0,133182704772.6,000905.XSHG,中证500
2020-05-20,5545.04,5489.7,5547.17,5473.79,12349126400.0,141354557271.3,000905.XSHG,中证500
2020-05-21,5508.2,5426.17,5511.23,5415.6,11455910800.0,128883851422.2,000905.XSHG,中证500
2020-05-22,5421.73,5328.23,5421.89,5307.3,10641571100.0,115705492517.1,000905.XSHG,中证500
2020-05-25,5323.97,5316.6,5344.28,5293.23,8438568100.0,91375351529.7,000905.XSHG,中证500
2020-05-26,5341.11,5420.21,5421.9,5341.08,9096900800.0,99351009048.7,000905.XSHG,中证500
2020-05-27,5426.56,5369.5,5426.56,5358.47,10396037100.0,113109428499.1,000905.XSHG,中证500
2020-05-28,5367.27,5361.17,5390.14,5290.29,10252425100.0,107583819701.5,000905.XSHG,中证500
2020-05-29,5349.57,5406.34,5416.66,5336.07,10500325000.0,110023218185.6,000905.XSHG,中证500
2020-06-01,5446.29,5569.48,5576.65,5446.29,14169758200.0,147879965490.3,000905.XSHG,中证500
2020-06-02,5595.36,5566.44,5596.44,5544.19,13902910300.0,149203304081.4,000905.XSHG,中证500
2020-06-03,5583.7,5572.31,5618.29,5567.07,13834551900.0,146218273434.1,000905.XSHG,中证500
2020-06-04,5589.34,5576.75,5597.26,5549.36,12077846500.0,123809986180.5,000905.XSHG,中证500
2020-06-05,5585.16,5585.42,5592.35,5542.87,11225389700.0,115167433561.3,000905.XSHG,中证500
2020-06-08,5618.38,5575.3,5627.19,5567.21,11944619000.0,128061193175.3,000905.XSHG,中证500
2020-06-09,5582.14,5610.38,5616.04,5560.14,11487092900.0,119378870791.8,000905.XSHG,中证500
2020-06-10,5611.66,5615.24,5616.61,5581.92,10836809700.0,114114998789.0,000905.XSHG,中证500
2020-06-11,5618.64,5589.1,5673.31,5567.54,12751545400.0,144595249404.6,000905.XSHG,中证500
2020-06-12,5483.78,5591.49,5620.21,5479.27,12954546500.0,142138382119.3,000905.XSHG,中证500
2020-06-15,5605.88,5590.64,5661.97,5590.64,14535977600.0,152567150810.5,000905.XSHG,中证500
2020-06-16,5633.26,5695.3,5695.3,5624.85,13395170300.0,142087502349.4,000905.XSHG,中证500
2020-06-17,5708.69,5735.42,5735.42,5685.62,14683751800.0,153683182939.3,000905.XSHG,中证500
2020-06-18,5738.03,5734.4,5744.45,5705.3,15815436600.0,160763116093.6,000905.XSHG,中证500
2020-06-19,5733.43,5787.15,5796.36,5727.62,14176809800.0,147827142214.7,000905.XSHG,中证500
2020-06-22,5793.79,5784.03,5815.39,5770.81,14539234900.0,157370407892.1,000905.XSHG,中证500
2020-06-23,5783.12,5804.34,5809.28,5755.4,12574812700.0,140277421310.2,000905.XSHG,中证500
2020-06-24,5808.54,5789.09,5824.31,5773.29,11024143600.0,128536776011.6,000905.XSHG,中证500
2020-06-29,5774.46,5762.44,5789.16,5740.26,11776115100.0,131671126495.1,000905.XSHG,中证500
2020-06-30,5790.06,5864.42,5875.33,5788.21,11535032400.0,139671518549.7,000905.XSHG,中证500
2020-07-01,5884.54,5881.89,5885.87,5814.76,14283298200.0,161437631594.7,000905.XSHG,中证500
2020-07-02,5880.88,5975.28,5979.99,5858.57,20118138000.0,200063179993.3,000905.XSHG,中证500
2020-07-03,5990.0,6051.51,6052.52,5968.07,22682681800.0,217087507631.7,000905.XSHG,中证500
2020-07-06,6095.96,6299.86,6318.31,6095.96,30237648900.0,291741992284.1,000905.XSHG,中证500
2020-07-07,6368.31,6380.03,6480.03,6300.24,32586542500.0,329327405395.3,000905.XSHG,中证500
2020-07-08,6378.95,6535.42,6541.44,6352.37,28884738900.0,292261704951.5,000905.XSHG,中证500
2020-07-09,6541.29,6693.75,6712.14,6530.02,31741227100.0,334582903483.0,000905.XSHG,中证500
2020-07-10,6664.33,6676.44,6763.81,6644.36,28873667200.0,322509785233.7,000905.XSHG,中证500
2020-07-13,6710.64,6899.52,6899.62,6710.64,29730559500.0,335186154096.4,000905.XSHG,中证500
2020-07-14,6897.0,6807.73,6897.0,6672.8,29386829700.0,341854745106.6,000905.XSHG,中证500
2020-07-15,6815.62,6638.84,6838.15,6598.52,25647283000.0,300879616805.6,000905.XSHG,中证500
2020-07-16,6642.33,6320.0,6711.0,6305.13,25331587000.0,277008155088.1,000905.XSHG,中证500
2020-07-17,6327.03,6344.59,6447.51,6272.94,19680390900.0,215076901728.0,000905.XSHG,中证500
2020-07-20,6419.08,6526.83,6526.83,6340.65,21241322200.0,225848583600.9,000905.XSHG,中证500
2020-07-21,6546.57,6563.32,6591.01,6500.87,19396594900.0,214682284529.3,000905.XSHG,中证500
2020-07-22,6554.17,6620.69,6699.69,6534.74,21010119800.0,232947421316.2,000905.XSHG,中证500
2020-07-23,6562.05,6620.09,6629.21,6431.26,20799246200.0,240882435490.9,000905.XSHG,中证500
2020-07-24,6584.81,6283.98,6609.29,6265.38,21901777700.0,247232797429.5,000905.XSHG,中证500
2020-07-27,6304.59,6298.74,6337.33,6229.47,14554248100.0,168023361892.0,000905.XSHG,中证500
2020-07-28,6345.68,6359.66,6385.39,6307.79,13883814400.0,162440480588.8,000905.XSHG,中证500
2020-07-29,6341.01,6530.27,6530.27,6324.05,15922168400.0,186898356931.0,000905.XSHG,中证500
2020-07-30,6548.7,6511.44,6564.78,6491.45,17761556100.0,209285453557.9,000905.XSHG,中证500
2020-07-31,6499.39,6579.67,6619.26,6463.42,17991294100.0,207862488529.4,000905.XSHG,中证500
